Simulation Time - Measured	Travel (deg) - Measured
7.565	17.4463
7.57	17.4463
7.575	17.4463
7.58	17.4023
7.585	17.4023
7.59	17.4023
7.595	17.4023
7.6	17.4023
7.605	17.4023
7.61	17.3584
7.615	17.3584
7.62	17.3584
7.625	17.3584
7.63	17.3584
7.635	17.3584
7.64	17.3584
7.645	17.3145
7.65	17.3145
7.655	17.3145
7.66	17.3145
7.665	17.3145
7.67	17.3145
7.675	17.2705
7.68	17.2705
7.685	17.2705
7.69	17.2705
7.695	17.2705
7.7	17.2705
7.705	17.2266
7.71	17.2266
7.715	17.2266
7.72	17.2266
7.725	17.2266
7.73	17.2266
7.735	17.1826
7.74	17.1826
7.745	17.1826
7.75	17.1826
7.755	17.1826
7.76	17.1826
7.765	17.1826
7.77	17.1826
7.775	17.1387
7.78	17.1387
7.785	17.1387
7.79	17.1387
