Elevation (deg) - Measured	
4.915	-9.48242
4.92	-9.48242
4.925	-9.48242
4.93	-9.48242
4.935	-9.48242
4.94	-9.48242
4.945	-9.48242
4.95	-9.48242
4.955	-9.48242
4.96	-9.48242
4.965	-9.48242
4.97	-9.48242
4.975	-9.48242
4.98	-9.48242
4.985	-9.48242
4.99	-9.48242
4.995	-9.48242
5	-9.48242
5.005	-9.48242
5.01	-9.48242
5.015	-9.48242
5.02	-9.48242
5.025	-9.48242
5.03	-9.48242
5.035	-9.48242
5.04	-9.48242
5.045	-9.48242
5.05	-9.48242
5.055	-9.48242
5.06	-9.48242
5.065	-9.48242
5.07	-9.48242
5.075	-9.48242
5.08	-9.48242
5.085	-9.39453
5.09	-9.39453
5.095	-9.39453
5.1	-9.39453
5.105	-9.39453
5.11	-9.39453
5.115	-9.30664
5.12	-9.30664
5.125	-9.30664
5.13	-9.30664
5.135	-9.30664
5.14	-9.21875
5.145	-9.21875
5.15	-9.21875
5.155	-9.21875
5.16	-9.13086
5.165	-9.13086
5.17	-9.13086
5.175	-9.04297
5.18	-9.04297
5.185	-8.95508
5.19	-8.95508
5.195	-8.95508
5.2	-8.95508
5.205	-8.86719
5.21	-8.7793
5.215	-8.7793
5.22	-8.60352
5.225	-8.60352
5.23	-8.51563
5.235	-8.42773
5.24	-8.33984
5.245	-8.25195
5.25	-8.16406
5.255	-8.16406
5.26	-8.07617
5.265	-7.8125
5.27	-7.72461
5.275	-7.54883
5.28	-7.46094
5.285	-7.46094
5.29	-7.28516
5.295	-7.19727
5.3	-7.10938
5.305	-6.8457
5.31	-6.75781
5.315	-6.49414
5.32	-6.31836
5.325	-6.05469
5.33	-5.9668
5.335	-5.70313
5.34	-5.52734
5.345	-5.43945
5.35	-5.26367
5.355	-5.08789
5.36	-5
5.365	-4.82422
5.37	-4.73633
5.375	-4.56055
5.38	-4.38477
5.385	-4.29688
5.39	-4.20898
5.395	-3.94531
5.4	-3.85742
5.405	-3.68164
5.41	-3.59375
5.415	-3.50586
5.42	-3.41797
5.425	-3.1543
5.43	-3.06641
5.435	-2.97852
5.44	-2.71484
5.445	-2.62695
5.45	-2.53906
5.455	-2.27539
5.46	-2.1875
5.465	-1.83594
5.47	-1.74805
5.475	-1.57227
5.48	-1.2207
5.485	-1.13281
5.49	-1.04492
5.495	-0.78125
5.5	-0.693359
5.505	-0.605469
5.51	-0.429688
5.515	-0.253906
5.52	-0.166016
5.525	0.185547
5.53	0.273438
5.535	0.361328
5.54	0.537109
5.545	0.625
5.55	0.712891
5.555	0.888672
5.56	0.976562
5.565	1.06445
5.57	1.24023
5.575	1.32812
5.58	1.41602
5.585	1.5918
5.59	1.67969
5.595	1.85547
5.6	2.03125
5.605	2.11914
5.61	2.20703
5.615	2.38281
5.62	2.4707
5.625	2.55859
5.63	2.73437
5.635	2.82227
5.64	2.91016
5.645	3.08594
5.65	3.17383
5.655	3.34961
5.66	3.4375
5.665	3.61328
5.67	3.70117
5.675	3.78906
5.68	3.87695
5.685	3.96484
5.69	4.05273
5.695	4.31641
5.7	4.4043
5.705	4.58008
5.71	4.66797
5.715	4.66797
5.72	4.84375
5.725	4.93164
5.73	5.01953
5.735	5.19531
5.74	5.19531
5.745	5.2832
5.75	5.37109
5.755	5.37109
5.76	5.45898
5.765	5.63477
5.77	5.63477
5.775	5.72266
5.78	5.81055
5.785	5.89844
5.79	5.89844
5.795	5.98633
5.8	6.07422
5.805	6.07422
5.81	6.16211
5.815	6.16211
5.82	6.25
5.825	6.25
5.83	6.33789
5.835	6.33789
5.84	6.42578
5.845	6.51367
5.85	6.51367
5.855	6.60156
5.86	6.60156
5.865	6.60156
5.87	6.68945
5.875	6.77734
5.88	6.77734
5.885	6.77734
5.89	6.86523
5.895	6.86523
5.9	6.95312
5.905	6.95312
5.91	6.95312
5.915	7.04102
5.92	7.04102
5.925	7.04102
5.93	7.12891
5.935	7.12891
5.94	7.2168
5.945	7.2168
5.95	7.2168
5.955	7.30469
5.96	7.30469
5.965	7.30469
5.97	7.39258
5.975	7.39258
5.98	7.39258
5.985	7.48047
5.99	7.48047
5.995	7.48047
6	7.56836
6.005	7.56836
6.01	7.56836
6.015	7.65625
6.02	7.65625
6.025	7.65625
6.03	7.65625
6.035	7.65625
6.04	7.74414
6.045	7.74414
6.05	7.74414
6.055	7.83203
6.06	7.83203
6.065	7.91992
6.07	7.91992
6.075	7.91992
6.08	8.00781
6.085	8.00781
6.09	8.00781
6.095	8.00781
6.1	8.00781
6.105	8.0957
6.11	8.0957
6.115	8.0957
6.12	8.0957
6.125	8.0957
6.13	8.18359
6.135	8.18359
6.14	8.18359
6.145	8.27148
6.15	8.27148
6.155	8.27148
6.16	8.27148
6.165	8.27148
6.17	8.35937
6.175	8.35937
6.18	8.35937
6.185	8.35937
6.19	8.44727
6.195	8.44727
6.2	8.44727
6.205	8.53516
6.21	8.53516
6.215	8.53516
6.22	8.53516
6.225	8.62305
6.23	8.62305
6.235	8.62305
6.24	8.62305
6.245	8.71094
6.25	8.71094
6.255	8.71094
6.26	8.71094
6.265	8.71094
6.27	8.71094
6.275	8.79883
6.28	8.79883
6.285	8.79883
6.29	8.79883
6.295	8.79883
6.3	8.79883
6.305	8.88672
6.31	8.88672
6.315	8.88672
6.32	8.88672
6.325	8.97461
6.33	8.97461
6.335	8.97461
6.34	8.97461
6.345	8.97461
6.35	8.97461
6.355	8.97461
6.36	9.0625
6.365	9.0625
6.37	9.0625
6.375	9.0625
6.38	9.0625
6.385	9.0625
6.39	9.15039
6.395	9.15039
6.4	9.15039
6.405	9.15039
6.41	9.15039
6.415	9.15039
6.42	9.15039
6.425	9.23828
6.43	9.23828
6.435	9.23828
6.44	9.23828
6.445	9.32617
6.45	9.32617
6.455	9.32617
6.46	9.32617
6.465	9.32617
6.47	9.32617
6.475	9.32617
6.48	9.41406
6.485	9.41406
6.49	9.41406
6.495	9.41406
6.5	9.41406
6.505	9.41406
6.51	9.41406
6.515	9.41406
6.52	9.41406
6.525	9.50195
6.53	9.50195
6.535	9.50195
6.54	9.50195
6.545	9.50195
6.55	9.50195
6.555	9.50195
6.56	9.50195
6.565	9.58984
6.57	9.58984
6.575	9.58984
6.58	9.58984
6.585	9.58984
6.59	9.58984
6.595	9.58984
6.6	9.58984
6.605	9.58984
6.61	9.58984
6.615	9.58984
6.62	9.67773
6.625	9.67773
6.63	9.67773
6.635	9.67773
6.64	9.67773
6.645	9.67773
